Round;issu before;Debator1;issu before;Debator2;issu before;Debator3;issu before;Debator4;issu;Run Time;
Initial State; - ;0.2749890877346137; - ;0.22233986236103753; - ;0.43820224719101125; - ;0.26440677966101694;1;0;
ROUND 1;1;2,16;0.6666666666666666;1;0.4;-;0.4;4;0.2857142857142857;0.0008018016815185547;
ROUND 2;0.2857142857142857;10;0.27272727272727276;5,27;0.24000000000000005;-;0.24000000000000005;9;0.27272727272727276;0.0008943080902099609;
ROUND 3;0.27272727272727276;-;0.27272727272727276;3,20;0.24000000000000005;-;0.24000000000000005;-;0.24000000000000005;0.0008389949798583984;
ROUND 4;0.24000000000000005;-;0.24000000000000005;26;0.23076923076923078;-;0.23076923076923078;-;0.23076923076923078;0.0008306503295898438;
ROUND 5;0.23076923076923078;23;0.234375;21,19;0.22900763358778622;-;0.22900763358778622;-;0.22900763358778622;0.0011425018310546875;
ROUND 6;0.22900763358778622;24;0.23051591657519208;8,7;0.22532188841201717;-;0.22532188841201717;-;0.22532188841201717;0.0010483264923095703;
ROUND 7;0.22532188841201717;-;0.22532188841201717;14;0.22116903633491308;13;0.2229299363057325;-;0.2229299363057325;0.000995635986328125;
ROUND 8;0.2229299363057325;-;0.2229299363057325;22;0.22233986236103753;-;0.22233986236103753;-;0.22233986236103753;0.0009694099426269531;
ROUND 9;0.22233986236103753;-;0.22233986236103753;-;0.22233986236103753;-;0.22233986236103753;-;0.22233986236103753;0.0008213520050048828;
